CountryName,CountryCode,Year,avgvalcuractbalusd,avgvalrsvtotalpercentusd,"average_value_Total reserves (includes gold, current US$)",average_value_Total reserves in months of imports,"average_value_Use of IMF credit (DOD, current US$)"
Afghanistan,AFG,2019,-3791935256.04003,319.258392395823,8497655795.34729,13.748961538324,276923268.4
Africa Eastern and Southern,AFE,2019,,26.5631236876552,,5.5419810716047,
Africa Western and Central,AFW,2019,,,,3.89012932701321,
Albania,ALB,2019,-1218844955.87906,39.0993011784814,3763661058.67744,5.9445968324759,447707759.2
Algeria,DZA,2019,-17147722730.2744,1307.21037315591,71795950714.9485,14.4728273096777,1656880871
Andorra,AND,2019,,,,,
Angola,AGO,2019,5137394880.2235,31.4146889596402,16334853784.0603,6.42509428996664,1861295679.9
Antigua and Barbuda,ATG,2019,,,279133212.713698,,
Arab World,ARB,2019,,69.2508547512419,,19.765598040958,
Argentina,ARG,2019,-3997018054.51692,16.0686122533913,44880566052.3703,5.95437615408518,46924457621.2
Armenia,ARM,2019,-987522525.741376,23.9719799738151,2849645182.4783,4.18057242822472,374965602.2
Aruba,ABW,2019,84796821.7557428,,982300000,4.73765122446842,
Australia,AUS,2019,8033400362.83176,,58754685703.4779,1.83833706456851,
Austria,AUT,2019,12666127203.9232,,23616397437.8114,1.07191463478805,
Azerbaijan,AZE,2019,4364886019.2297,44.4623451638663,7042996709.93734,3.95619484336769,212368821.7
"Bahamas, The",BHS,2019,526320690.740738,,1757782753.50028,3.84160879491678,
Bahrain,BHR,2019,,,3902650742.43906,,
Bangladesh,BGD,2019,-2948537074.51494,57.2742916566189,32696936140.2925,5.85933450460047,1413763539.6
Barbados,BRB,2019,,,772118649.502051,,
Belarus,BLR,2019,-1245800000,23.0639047109316,9393817368.90426,2.48197967811781,509770354.2
Belgium,BEL,2019,1842643564.42101,,28969986952.2765,0.694591998874901,
Belize,BLZ,2019,-184645704.683613,20.1504827605265,277578761.136722,2.41959366396949,24744281
Benin,BEN,2019,-580555691.729075,,,,266700038.9
Bermuda,BMU,2019,828302632.092515,,,,
Bhutan,BTN,2019,-500801565.664002,45.8098507945756,1238371618.29552,9.98564557325313,8281742.4
Bolivia,BOL,2019,-1389588366.60584,45.0030196964361,6455449941.6788,5.99326403934883,226964545.7
Bosnia and Herzegovina,BIH,2019,-623861251.374911,43.430200849741,7207699940.37337,7.32401567976364,397854131.2
Botswana,BWA,2019,-1396883004.56261,394.23904447954,6170221067.31238,8.13635800922937,79418438.9
Brazil,BRA,2019,-65029905179.615,62.6778088537415,356886386911.979,12.1867384259418,3992325318
British Virgin Islands,VGB,2019,,,,,
Brunei Darussalam,BRN,2019,893760724.315115,,4272696957.80614,6.86171221841257,
Bulgaria,BGR,2019,1233620000,68.8908263295595,27901750798.6159,7.23992106609994,844734960.7
Burkina Faso,BFA,2019,-523837226.294833,,,,309646453
Burundi,BDI,2019,,19.2571126615401,111373704.053543,,149136356.3
Cabo Verde,CPV,2019,-7565567.1506369,40.5217944858158,737990665.417386,6.46233309835278,12679127.8
Cambodia,KHM,2019,-4064575202.43647,122.543369889588,18771406172.4755,8.09933804867918,116046722.9
Cameroon,CMR,2019,-1695070703.44845,,,,760370154.8
Canada,CAN,2019,-35688200343.4011,,85297110783.6887,1.45776089586656,
Caribbean small states,CSS,2019,,25.837534620146,,6.63560676203518,
Cayman Islands,CYM,2019,-581583341.801264,,183500000,0.260563141846897,
Central African Republic,CAF,2019,,39.7005852760881,350305401.8215,,296484719.1
Central Europe and the Baltics,CEB,2019,,68.8908263295595,,6.13851454969093,
Chad,TCD,2019,,8.68101871956902,310032032.850238,,469812226.1
Chile,CHL,2019,-10453536549.9369,,40655524238.3282,4.81748724441311,
China,CHN,2019,102909876008.388,152.443059425131,3222894578036.36,13.754177548943,9665491725.9
Colombia,COL,2019,-14284973777.1075,37.9629367188032,52652707434.7902,7.6134037928685,1020971932.8
Comoros,COM,2019,-37401621.4336349,67.4643211193972,202031707.232998,6.84217488546573,30741595.5
"Congo, Dem. Rep.",COD,2019,-1693232060.97432,,,,1129700742.7
"Congo, Rep.",COG,2019,,15.9901614508597,988316008.036768,,157171955.8
Costa Rica,CRI,2019,-1289119392.26517,29.9670356533933,8937069411.20634,4.54970904629397,216460602.6
Cote d'Ivoire,CIV,2019,-1348827419.86918,,,,1914817944.1
Croatia,HRV,2019,1455551838.81894,,20770636599.6909,7.17830015220289,
Cuba,CUB,2019,,,,,
Curacao,CUW,2019,-539292813.703911,,,,
Cyprus,CYP,2019,-1577489124.59504,,1033463563.89138,0.361601601059362,
Czech Republic,CZE,2019,898074466.879909,,149855634729.53,9.10826149454983,
Denmark,DNK,2019,30937220319.0477,,66835547933.6664,4.0264797106939,
Djibouti,DJI,2019,448272563.583165,19.6622973200842,501857934.384136,1.2198290811297,31639049.4
Dominica,DMA,2019,,58.9554485208678,166809123.808339,,20760360.5
Dominican Republic,DOM,2019,-1187900000,24.6970146698609,8870942286.35982,3.63801766993103,288769935.2
Early-demographic dividend,EAR,2019,,46.1513421234712,,12.3672021061658,
East Asia & Pacific,EAS,2019,,126.272706094004,,11.944136620093,
East Asia & Pacific (excluding high income),EAP,2019,,126.272706094004,,12.5861400511944,16509911402.6
East Asia & Pacific (IDA & IBRD countries),TEA,2019,,126.272706094004,,12.5861400511944,
Ecuador,ECU,2019,-59044772.2058958,5.68434746644883,2940235064.08469,1.21182661412048,2114249049.6
"Egypt, Arab Rep.",EGY,2019,-10221895259.0833,38.7287039513685,44568837112.0669,5.83923947440236,13129959331.1
El Salvador,SLV,2019,-165401551.069353,24.6156668088114,4445830632.52269,3.80048390511666,226516510.2
Equatorial Guinea,GNQ,2019,,,40816834.5967151,,
Eritrea,ERI,2019,,24.8401892212675,191694416.403147,,20960870.2
Estonia,EST,2019,616045117.440802,,1426439025.48627,0.711303206157158,
Eswatini,SWZ,2019,195651856.872725,70.3014164198664,440314152.603376,2.11209566778861,66769733.3
Ethiopia,ETH,2019,,10.5794797711353,2992704274.84051,,318290495.6
Euro area,EMU,2019,312826085283.442,,914226843967.921,1.96753729198672,
Europe & Central Asia,ECS,2019,,56.975431853161,,9.12924289974302,
Europe & Central Asia (excluding high income),ECA,2019,,56.975431853161,,11.1987561575295,26649492433.9
Europe & Central Asia (IDA & IBRD countries),TEC,2019,,56.975431853161,,10.282520964155,
European Union,EUU,2019,,,,3.38908626568033,
Faroe Islands,FRO,2019,,,,,
Fiji,FJI,2019,-692992352.319962,102.285771972597,1043304264.01736,3.36425462804704,92779299.7
Finland,FIN,2019,-462884410.984844,,11426621292.5879,1.05767245595766,
Fragile and conflict affected situations,FCS,2019,,,,10.6523076613092,
France,FRA,2019,-18418375786.9075,,189006435295.489,2.11712727823216,
French Polynesia,PYF,2019,,,,,
Gabon,GAB,2019,,19.0737224763831,1371973832.67956,,721529349.8
"Gambia, The",GMB,2019,,,,,77241871.4
Georgia,GEO,2019,-960445299.250001,20.2509153096889,3505823162.30974,3.17440418488865,447978793
Germany,DEU,2019,289603130720.076,,224027961016.416,1.55443814318842,
Ghana,GHA,2019,-1863971933.06699,28.0547833920211,7563210340.92838,2.89562482242713,1575603914.5
Greece,GRC,2019,-3112110573.38847,,8507452886.82209,1.11072209501883,
Grenada,GRD,2019,,42.9353899010308,236325345.085472,,35609141.6
Guatemala,GTM,2019,1791148670,55.5989524402499,14784046764.6684,7.41215231111696,277824870.7
Guinea,GIN,2019,-314620000,49.452209703486,1417701130.96454,3.76300076567075,481053215.3
Guinea-Bissau,GNB,2019,-127409979.195969,,,,50290600.8
Guyana,GUY,2019,-1696245503.9341,35.900184058944,573446281.433525,1.65886887388206,120423365.9
Haiti,HTI,2019,72214808.336835,,,,185491424.1
Heavily indebted poor countries (HIPC),HPC,2019,,,,6.0456245161103,
High income,HIC,2019,,,,10.2801665828876,
Honduras,HND,2019,-347298261.567879,58.809933335576,5744253369.31693,5.06501611552478,171262948.4
"Hong Kong SAR, China",HKG,2019,21807160861.7421,,441349592235.762,6.31950327387429,
Hungary,HUN,2019,-620263568.285688,,31831003374.707,2.54122236495908,
IBRD only,IBD,2019,,83.8013413399865,,11.3254904200457,
Iceland,ISL,2019,1578738847.71768,,6782387111.82889,8.20743192368001,
IDA & IBRD total,IBT,2019,,80.7187381986562,,11.1687429419445,
IDA blend,IDB,2019,,39.4604300892997,,6.49354253495699,
IDA only,IDX,2019,,40.3620296556756,,6.18561877442696,
IDA total,IDA,2019,,39.9440353080966,,6.32572621959226,
India,IND,2019,-29762864650.3282,82.757381350055,463469902152.507,8.27365940048396,5501236937.5
Indonesia,IDN,2019,-30279059752.9683,32.1292322599011,129186464020.187,6.317774344195,2738601714.4
"Iran, Islamic Rep.",IRN,2019,,,,,1971992250.6
Iraq,IRQ,2019,15762600000,,68017647833.6447,10.8595841433165,
Ireland,IRL,2019,-44933860211.6341,,5732541811.18074,0.10343682129619,
Israel,ISR,2019,13135100000,,126007828810.341,12.117147147872,
Italy,ITA,2019,64012293968.2361,,175397954131.108,3.29389263800986,
Jamaica,JAM,2019,-318538083.619109,22.8920495475474,3631089258.40452,4.82038969878807,977754484.9
Japan,JPN,2019,176811231596.871,,1322443255598.64,15.4237671198109,
Jordan,JOR,2019,-1003464788.7324,,,,728982779.6
Kazakhstan,KAZ,2019,-7296417740.29965,18.5312180396996,28957509931.0023,4.52693675016484,475213542.8
Kenya,KEN,2019,-5559231016.68245,26.6411044751957,9115806005.21186,4.8505915576252,719708168.5
Kiribati,KIR,2019,86818266.8180729,,,,
"Korea, Dem. People's Rep.",PRK,2019,,,,,
"Korea, Rep.",KOR,2019,59676100000,,408819161841.749,7.71289239419087,
Kosovo,XKX,2019,-447233075.832754,39.7759284036754,965831893.179934,2.52822370610672,224941471.9
Kuwait,KWT,2019,33810638106.9285,,43668410965.0783,8.19436804212923,
Kyrgyz Republic,KGZ,2019,-1066826379.38992,29.1245658731373,2428567693.63364,4.49570205067161,257512545.7
Lao PDR,LAO,2019,-947266493.462598,6.3934167370262,1067769845.40873,1.53920116216342,70078834.9
Late-demographic dividend,LTE,2019,,111.471953163926,,12.3126025193479,
Latin America & Caribbean,LCN,2019,,44.0025276334017,,8.76561389453942,
Latin America & Caribbean (excluding high income),LAC,2019,,44.0025276334017,,8.96866355234244,65477410053.2
Latin America & the Caribbean (IDA & IBRD countries),TLA,2019,,44.0025276334017,,8.78252202058689,
Latvia,LVA,2019,-221774132.27814,,4479621403.97313,2.34659187691402,
Least developed countries: UN classification,LDC,2019,,41.1454273704794,,6.69494230786029,
Lebanon,LBN,2019,-11539788230.5333,70.5730631793866,52213484574.221,17.6706200049107,267282208.4
Lesotho,LSO,2019,-99923603.8819607,82.7139079525459,774095190.47731,3.98351935573895,79280156.3
Liberia,LBR,2019,-653403371.780943,36.3859702123599,493917938.697638,4.31936161969546,396297069.6
Libya,LBY,2019,,,84663589516.8684,,
Lithuania,LTU,2019,1816772388.46266,,5085045225.2078,1.43235225724889,
Low & middle income,LMY,2019,,80.7187381986562,,11.3571919507836,170290570958
Low income,LIC,2019,,,,8.31763536706986,9297320528.8
Lower middle income,LMC,2019,,54.680393467869,,7.33235203849298,62291167755.5
Luxembourg,LUX,2019,3095328783.81975,,1054874472.69212,0.033518255907094,
"Macao SAR, China",MAC,2019,18555824313.934,,22214954000,8.25482131684941,
Madagascar,MDG,2019,-330509080.273773,41.648220456346,1693147648.47775,3.85070777422556,545183134.5
Malawi,MWI,2019,-1837411039.01636,33.8802058511022,824609844.266183,2.82154108495172,339457406.9
Malaysia,MYS,2019,12296149593.1914,,103629721168.985,5.26827649289244,
Maldives,MDV,2019,-1513321373.60322,28.475515106422,762911627.717928,1.95912030500263,10776359.8
Mali,MLI,2019,,,,,446739781.3
Malta,MLT,2019,873146211.524962,,937615561.122226,0.371983846872559,
Marshall Islands,MHL,2019,,,,,
Mauritania,MRT,2019,-831106401.851148,19.1573613222123,1028702420.51919,3.19338645949119,244042441.7
Mauritius,MUS,2019,-756265499.760089,,7362471785.78251,6.2348897719328,
Mexico,MEX,2019,-4238330801.00005,38.9705970238051,183056094117.556,4.01391012481745,3942705387.6
"Micronesia, Fed. Sts.",FSM,2019,,,397158244.634291,,
Middle East & North Africa,MEA,2019,,70.1807583720058,,18.8166370322921,
Middle East & North Africa (excluding high income),MNA,2019,,70.1807583720058,,11.5386898720595,21521648826
Middle East & North Africa (IDA & IBRD countries),TMN,2019,,70.1807583720058,,11.564624676127,
Middle income,MIC,2019,,81.2176284861858,,11.3661883948807,160993250429.2
Moldova,MDA,2019,-1119070000,40.5984787902898,3059660617.37019,5.22814102857745,457511992.6
Mongolia,MNG,2019,-2161686815.38961,13.8784093591105,4363699115.81581,4.67020197272455,284864835.7
Montenegro,MNE,2019,-837222750.702775,18.3368135372981,1529177036.35033,4.68581996439982,35707322.2
Morocco,MAR,2019,-4406759940.68629,48.0514945067909,26412762236.8499,5.58422656502833,776348704.4
Mozambique,MOZ,2019,-3022347154.77105,19.101441055107,3887925207.75165,4.60677787268663,375009852.6
Myanmar,MMR,2019,67720479.4120727,52.4028423310536,5824261144.05248,3.28869018419057,339841832.4
Namibia,NAM,2019,-215838429.406562,,2049238535.99938,3.85231126346015,
Nauru,NRU,2019,,,,,
Nepal,NPL,2019,-1713552490.25283,133.773649957906,8713166195.10835,7.46111112101261,147411972.8
Netherlands,NLD,2019,90206420131.169,,43320049622.8042,0.521273595736856,
New Caledonia,NCL,2019,,,,,
New Zealand,NZL,2019,-6842708386.10406,,17813501891.014,3.0680457948332,
Nicaragua,NIC,2019,754100000,20.5069925178043,2397444668.92872,4.22382781699915,181133557.5
Niger,NER,2019,-1572440249.92645,,,,345667676.6
Nigeria,NGA,2019,-14627014405.3102,69.9146714263028,38335890478.7729,4.06236156514054,2316751410.8
North America,NAC,2019,,,,1.53552984079311,
North Macedonia,MKD,2019,-418624876.738524,40.6235242724559,3650514750.41521,4.23208492458138,90736866.3
Norway,NOR,2019,11687537978.6074,,66946037549.8517,4.6463236348331,
OECD members,OED,2019,,,,9.05313633521608,
Oman,OMN,2019,-4140327405.4064,,16661756725.189,5.01348357767791,
Other small states,OSS,2019,,49.4761179696089,,6.03090195609408,
Pacific island small states,PSS,2019,,105.703935307936,,6.95624665298587,
Pakistan,PAK,2019,-8557928000,16.4513872198361,16586046186.2171,3.08190201214364,8097223701.1
Palau,PLW,2019,,,,,
Panama,PAN,2019,-3332425706.27,,3423477098.41293,1.20807066713427,
Papua New Guinea,PNG,2019,,12.480764876228,2338947947.22446,,173536313.7
Paraguay,PRY,2019,-211605213.644715,47.0926365894065,7717366750.62534,6.40144430255926,131636698.5
Peru,PER,2019,-3531134866.0459,105.462900631153,67711463443.5982,12.590325565433,843375643.2
Philippines,PHL,2019,-3046835246.6567,106.997648140141,89515298355.7402,7.72024557926384,1158759439.5
Poland,POL,2019,2931000000,,128392157887.295,4.53243440438309,
Portugal,PRT,2019,887655676.866898,,25002862227.513,2.54672835579238,
Post-demographic dividend,PST,2019,,,,8.91361677069524,
Pre-demographic dividend,PRE,2019,,,,7.91013518726867,
Puerto Rico,PRI,2019,,,,,
Qatar,QAT,2019,4259890109.89011,,39718464943.2827,5.94863841809649,
Romania,ROU,2019,-12191449939.2424,,42006529633.5014,4.13842876583433,
Russian Federation,RUS,2019,64806300000,113.134355267345,555179461638.925,14.4623772914283,7843114289.2
Rwanda,RWA,2019,-1253742220.60655,23.5834734668812,1464873537.8348,4.28634661823885,305607219.4
Samoa,WSM,2019,,43.3831273010711,177244065.937656,,20951190.4
San Marino,SMR,2019,,,473110899.773361,,
Sao Tome and Principe,STP,2019,-90025980.2153675,18.7361994912083,47148376.7357912,2.92607566528058,18835467.3
Saudi Arabia,SAU,2019,38229872563.2926,,514962537825.302,26.6748206142106,
Senegal,SEN,2019,,,,,218536223.8
Serbia,SRB,2019,-3535309659.51349,41.7723628628971,14994710381.1554,5.17958382244654,615407166.1
Seychelles,SYC,2019,-271636873.009864,,580545515.11504,3.66932543379192,
Sierra Leone,SLE,2019,-915430405.119839,29.3196973161169,530137881.482077,3.33494170999831,502914304.9
Singapore,SGP,2019,53398713492.4468,,285477830549.322,4.8493672214899,
Sint Maarten (Dutch part),SXM,2019,-148842397.547486,,,,
Slovak Republic,SVK,2019,-2842002855.24102,,7168770088.19532,0.834602780438549,
Slovenia,SVN,2019,3049489669.0529,,1015426218.95744,0.279124515596404,
Small states,SST,2019,,42.6908208460644,,6.14410609902391,
Solomon Islands,SLB,2019,-153997549.50073,163.106896853237,571632111.089413,8.37360457051747,14974618.3
Somalia,SOM,2019,,,,,218503036
South Africa,ZAF,2019,-10666816282.2026,29.3369602863094,55055893656.867,5.45369126565411,2468917538
South Asia,SAS,2019,,68.4272318952346,,7.96638028927061,17319237731.3
South Asia (IDA & IBRD),TSA,2019,,68.4272318952346,,7.96638028927061,
South Sudan,SSD,2019,256860000,,378281747.007865,1.30717314461045,
Spain,ESP,2019,29606456980.1137,,74731427284.1399,1.7541207941259,
Sri Lanka,LKA,2019,-1808060465.43059,13.6344440253348,7648305273.42442,3.36928619637936,1863620209.7
St. Kitts and Nevis,KNA,2019,,,351161273.686018,,
St. Lucia,LCA,2019,,40.8273384437768,260870367.109565,,21732486.9
St. Vincent and the Grenadines,VCT,2019,,54.2222076038927,193357067.381966,,15360426.6
Sub-Saharan Africa,SSF,2019,,31.2623403538551,,5.01791189458153,
Sub-Saharan Africa (excluding high income),SSA,2019,,31.2623403538551,,5.02288730328107,22812870511
Sub-Saharan Africa (IDA & IBRD countries),TSS,2019,,31.2623403538551,,5.01791189458154,
Sudan,SDN,2019,-5215013936.1622,,,,528204801.9
Suriname,SUR,2019,-448945096.127314,,647934729.692427,2.73146760968882,
Sweden,SWE,2019,27162464174.519,,55509629819.8897,2.40832583362846,
Switzerland,CHE,2019,49150831505.5091,,854928999231.114,17.6526823295639,
Syrian Arab Republic,SYR,2019,,,,,386060011.9
Tajikistan,TJK,2019,-185294843.927717,22.1135787195796,1466304531.22901,4.73163479904365,144177543.7
Tanzania,TZA,2019,-1301335733.5109,,,,300580648.5
Thailand,THA,2019,38205560432.7836,124.48316675379,224355506654.641,8.85524341400583,1341708646.9
Timor-Leste,TLS,2019,133979914.66936,322.624814377322,656221032.73923,7.10637736860667,10686476.1
Togo,TGO,2019,-55443572.9474839,,,,318867134
Tonga,TON,2019,-4214305.01655204,117.140655909918,218448401.776129,7.64109598133929,9100375.2
Trinidad and Tobago,TTO,2019,1055959250.23033,,7023899234.48145,9.20629448004641,
Tunisia,TUN,2019,-3284075289.94809,20.9720493876272,7919981404.82365,3.82053381852616,2132216102.5
Turkey,TUR,2019,6759000000,23.9618320297412,105619672447.934,5.14730385194189,1481462531.6
Turkmenistan,TKM,2019,,,,,96546116.5
Turks and Caicos Islands,TCA,2019,,,,,
Tuvalu,TUV,2019,-9134547.43258947,,,,
Uganda,UGA,2019,-2332588662.39041,,,,239311795.4
Ukraine,UKR,2019,-4124000000,20.4428491192871,25317002926.8886,3.47450805282215,11328387888.2
United Arab Emirates,ARE,2019,,,108359358451.761,,
United Kingdom,GBR,2019,-87544620168.3514,,173569199262.767,1.71925815445782,
United States,USA,2019,-480228000000,,516700583371.247,1.54836796508484,
Upper middle income,UMC,2019,,91.3873971792892,,12.2497494281333,98702082673.7
Uruguay,URY,2019,824078354.415808,,14504021740.9161,9.7320510574191,
Uzbekistan,UZB,2019,-3365637950.88538,134.702808612028,29291325502.0694,12.2170668469847,363392734.9
Vanuatu,VUT,2019,113319249.723493,121.628345082496,511546284.1172,12.4058592153013,37186945.7
"Venezuela, RB",VEN,2019,,,,,3516879460.5
Vietnam,VNM,2019,13101247000,66.7565477867897,78334835182.609,3.36679352940087,435302430.9
West Bank and Gaza,PSE,2019,-1833552933.09462,,658352116.3,0.84608749894505,
World,WLD,2019,,,,10.824749629956,
"Yemen, Rep.",YEM,2019,,,,,440287517.1
Zambia,ZMB,2019,140712285.049613,5.29827606162459,1448624290.19898,2.04878637669558,666541290.5
Zimbabwe,ZWE,2019,,1.23258608384192,151240506.889991,,468198468.7
